GeoName,Year,Tax Type,TaxType,Amount 
Maine,2013,11211,Property Taxes,38636
Maine,2013,11212,Sales and Gross Receipts Taxes,1779873
Maine,2013,112123,License Taxes,260918
Maine,2013,112124,Income Taxes,1703491
Maine,2013,112125,Other Taxes,101532
Maryland,2013,1121,Total Taxes,18118191
Maryland,2013,11211,Property Taxes,750927
Maryland,2013,11212,Sales and Gross Receipts Taxes,7347048
Maryland,2013,112123,License Taxes,805292
Maryland,2013,112124,Income Taxes,8645416
Maryland,2013,112125,Other Taxes,569508
Massachusetts,2013,1121,Total Taxes,23901047
Massachusetts,2013,11211,Property Taxes,4795
Massachusetts,2013,11212,Sales and Gross Receipts Taxes,7455326
Massachusetts,2013,112123,License Taxes,945922
Massachusetts,2013,112124,Income Taxes,14764641
Massachusetts,2013,112125,Other Taxes,730363
Michigan,2013,1121,Total Taxes,24936087
Michigan,2013,11211,Property Taxes,1879024
Michigan,2013,11212,Sales and Gross Receipts Taxes,12298069
Michigan,2013,112123,License Taxes,1464607
Michigan,2013,112124,Income Taxes,9021535
Michigan,2013,112125,Other Taxes,272852
Minnesota,2013,1121,Total Taxes,22895574
Minnesota,2013,11211,Property Taxes,815756
Minnesota,2013,11212,Sales and Gross Receipts Taxes,9931483
Minnesota,2013,112123,License Taxes,1188142
Minnesota,2013,112124,Income Taxes,10552394
Minnesota,2013,112125,Other Taxes,407799
Mississippi,2013,1121,Total Taxes,7402725
Mississippi,2013,11211,Property Taxes,24122
Mississippi,2013,11212,Sales and Gross Receipts Taxes,4571294
Mississippi,2013,112123,License Taxes,530010
Mississippi,2013,112124,Income Taxes,2171404
Mississippi,2013,112125,Other Taxes,105895
Missouri,2013,1121,Total Taxes,11139394
Missouri,2013,11211,Property Taxes,29896
Missouri,2013,11212,Sales and Gross Receipts Taxes,4791043
Missouri,2013,112123,License Taxes,549473
Missouri,2013,112124,Income Taxes,5757909
Missouri,2013,112125,Other Taxes,11073
Montana,2013,1121,Total Taxes,2644610
Montana,2013,11211,Property Taxes,262313
Montana,2013,11212,Sales and Gross Receipts Taxes,558961
Montana,2013,112123,License Taxes,320858
Montana,2013,112124,Income Taxes,1216499
Montana,2013,112125,Other Taxes,285979
Nebraska,2013,1121,Total Taxes,4718944
Nebraska,2013,11211,Property Taxes,148
Nebraska,2013,11212,Sales and Gross Receipts Taxes,2197988
Nebraska,2013,112123,License Taxes,130762
Nebraska,2013,112124,Income Taxes,2377257
Nebraska,2013,112125,Other Taxes,12789
Nevada,2013,1121,Total Taxes,7026626
Nevada,2013,11211,Property Taxes,235143
Nevada,2013,11212,Sales and Gross Receipts Taxes,5468363
Nevada,2013,112123,License Taxes,586801
Nevada,2013,112124,Income Taxes,0
Nevada,2013,112125,Other Taxes,736319
New Hampshire,2013,1121,Total Taxes,2352699
New Hampshire,2013,11211,Property Taxes,400369
New Hampshire,2013,11212,Sales and Gross Receipts Taxes,948297
New Hampshire,2013,112123,License Taxes,252441
New Hampshire,2013,112124,Income Taxes,652224
New Hampshire,2013,112125,Other Taxes,99368
New Jersey,2013,1121,Total Taxes,29076881
New Jersey,2013,11211,Property Taxes,4620
New Jersey,2013,11212,Sales and Gross Receipts Taxes,12198133
New Jersey,2013,112123,License Taxes,1516432
New Jersey,2013,112124,Income Taxes,14390670
New Jersey,2013,112125,Other Taxes,967026
New Mexico,2013,1121,Total Taxes,5390841
New Mexico,2013,11211,Property Taxes,69217
New Mexico,2013,11212,Sales and Gross Receipts Taxes,2732537
New Mexico,2013,112123,License Taxes,257169
New Mexico,2013,112124,Income Taxes,1488711
New Mexico,2013,112125,Other Taxes,843207
New York,2013,1121,Total Taxes,73667171
New York,2013,11211,Property Taxes,X
New York,2013,11212,Sales and Gross Receipts Taxes,23217491
New York,2013,112123,License Taxes,1952367
New York,2013,112124,Income Taxes,45150984
New York,2013,112125,Other Taxes,3346329
North Carolina,2013,1121,Total Taxes,23818371
North Carolina,2013,11211,Property Taxes,X
North Carolina,2013,11212,Sales and Gross Receipts Taxes,9714905
North Carolina,2013,112123,License Taxes,1584563
North Carolina,2013,112124,Income Taxes,12354073
North Carolina,2013,112125,Other Taxes,164830
North Dakota,2013,1121,Total Taxes,5298770
North Dakota,2013,11211,Property Taxes,2808
North Dakota,2013,11212,Sales and Gross Receipts Taxes,1763437
North Dakota,2013,112123,License Taxes,207482
North Dakota,2013,112124,Income Taxes,867485
North Dakota,2013,112125,Other Taxes,2457558
Ohio,2013,1121,Total Taxes,27242072
Ohio,2013,11211,Property Taxes,X
Ohio,2013,11212,Sales and Gross Receipts Taxes,13547170
Ohio,2013,112123,License Taxes,3445620
Ohio,2013,112124,Income Taxes,10131771
Ohio,2013,112125,Other Taxes,117511
Oklahoma,2013,1121,Total Taxes,8892503
Oklahoma,2013,11211,Property Taxes,X
Oklahoma,2013,11212,Sales and Gross Receipts Taxes,3848451
Oklahoma,2013,112123,License Taxes,1010430
Oklahoma,2013,112124,Income Taxes,3501761
Oklahoma,2013,112125,Other Taxes,531861
Oregon,2013,1121,Total Taxes,9160887
Oregon,2013,11211,Property Taxes,19893
Oregon,2013,11212,Sales and Gross Receipts Taxes,1369266
Oregon,2013,112123,License Taxes,923123
Oregon,2013,112124,Income Taxes,6719905
Oregon,2013,112125,Other Taxes,128700
Pennsylvania,2013,1121,Total Taxes,33965626
Pennsylvania,2013,11211,Property Taxes,55537
Pennsylvania,2013,11212,Sales and Gross Receipts Taxes,17106300
Pennsylvania,2013,112123,License Taxes,2585202
Pennsylvania,2013,112124,Income Taxes,12985497
Pennsylvania,2013,112125,Other Taxes,1233090
Rhode Island,2013,1121,Total Taxes,2931631
Rhode Island,2013,11211,Property Taxes,2331
Rhode Island,2013,11212,Sales and Gross Receipts Taxes,1516423
Rhode Island,2013,112123,License Taxes,129716
Rhode Island,2013,112124,Income Taxes,1233302
Rhode Island,2013,112125,Other Taxes,49859
South Carolina,2013,1121,Total Taxes,8735455
South Carolina,2013,11211,Property Taxes,22699
