GeoName,Year,TaxType,Amount
Michigan,2015,Property Taxes,1963036
Michigan,2015,Sales and Gross Receipts Taxes,13124461
Michigan,2015,License Taxes,1563500
Michigan,2015,Income Taxes,10010943
Michigan,2015,Other Taxes,295397
Minnesota,2015,Total Taxes,24439253
Minnesota,2015,Property Taxes,839487
Minnesota,2015,Sales and Gross Receipts Taxes,9953411
Minnesota,2015,License Taxes,1392055
Minnesota,2015,Income Taxes,11846676
Minnesota,2015,Other Taxes,407624
Mississippi,2015,Total Taxes,7906514
Mississippi,2015,Property Taxes,25961
Mississippi,2015,Sales and Gross Receipts Taxes,4873512
Mississippi,2015,License Taxes,606432
Mississippi,2015,Income Taxes,2317985
Mississippi,2015,Other Taxes,82624
Missouri,2015,Total Taxes,11956143
Missouri,2015,Property Taxes,30265
Missouri,2015,Sales and Gross Receipts Taxes,5084211
Missouri,2015,License Taxes,547993
Missouri,2015,Income Taxes,6281907
Missouri,2015,Other Taxes,11767
Montana,2015,Total Taxes,2843465
Montana,2015,Property Taxes,268057
Montana,2015,Sales and Gross Receipts Taxes,603200
Montana,2015,License Taxes,350769
Montana,2015,Income Taxes,1348517
Montana,2015,Other Taxes,272922
Nebraska,2015,Total Taxes,5086759
Nebraska,2015,Property Taxes,119
Nebraska,2015,Sales and Gross Receipts Taxes,2315830
Nebraska,2015,License Taxes,172391
Nebraska,2015,Income Taxes,2584059
Nebraska,2015,Other Taxes,14360
Nevada,2015,Total Taxes,7532989
Nevada,2015,Property Taxes,242168
Nevada,2015,Sales and Gross Receipts Taxes,6038768
Nevada,2015,License Taxes,649333
Nevada,2015,Income Taxes,0
Nevada,2015,Other Taxes,602720
New Hampshire,2015,Total Taxes,2487737
New Hampshire,2015,Property Taxes,404579
New Hampshire,2015,Sales and Gross Receipts Taxes,970102
New Hampshire,2015,License Taxes,322667
New Hampshire,2015,Income Taxes,672717
New Hampshire,2015,Other Taxes,117672
New Jersey,2015,Total Taxes,31567654
New Jersey,2015,Property Taxes,4547
New Jersey,2015,Sales and Gross Receipts Taxes,12951867
New Jersey,2015,License Taxes,1553255
New Jersey,2015,Income Taxes,15829393
New Jersey,2015,Other Taxes,1228592
New Mexico,2015,Total Taxes,6009443
New Mexico,2015,Property Taxes,108803
New Mexico,2015,Sales and Gross Receipts Taxes,2995689
New Mexico,2015,License Taxes,272008
New Mexico,2015,Income Taxes,1631201
New Mexico,2015,Other Taxes,1001742
New York,2015,Total Taxes,78242729
New York,2015,Property Taxes,X
New York,2015,Sales and Gross Receipts Taxes,23969841
New York,2015,License Taxes,1764149
