GeoName,Year,TaxType,Amount 
United States,2016,Total Taxes,930263745
United States,2016,Property Taxes,18364298
United States,2016,Sales and Gross Receipts Taxes,442909995
United States,2016,License Taxes,52164396
United States,2016,Income Taxes,392286910
United States,2016,Other Taxes,24538146
Alabama,2016,Total Taxes,9919794
Alabama,2016,Property Taxes,346277
Alabama,2016,Sales and Gross Receipts Taxes,5106102
Alabama,2016,License Taxes,507479
Alabama,2016,Income Taxes,3869584
Alabama,2016,Other Taxes,90352
Alaska,2016,Total Taxes,1042164
Alaska,2016,Property Taxes,111736
Alaska,2016,Sales and Gross Receipts Taxes,260846
Alaska,2016,License Taxes,120529
Alaska,2016,Income Taxes,212252
Alaska,2016,Other Taxes,336801
Arizona,2016,Total Taxes,14676375
Arizona,2016,Property Taxes,943008
Arizona,2016,Sales and Gross Receipts Taxes,8680009
Arizona,2016,License Taxes,482362
Arizona,2016,Income Taxes,4538472
Arizona,2016,Other Taxes,32524
Arkansas,2016,Total Taxes,9452883
Arkansas,2016,Property Taxes,1119958
Arkansas,2016,Sales and Gross Receipts Taxes,4590072
Arkansas,2016,License Taxes,396891
Arkansas,2016,Income Taxes,3231617
Arkansas,2016,Other Taxes,114345
California,2016,Total Taxes,155231252
California,2016,Property Taxes,2513157
California,2016,Sales and Gross Receipts Taxes,53365753
California,2016,License Taxes,8551427
California,2016,Income Taxes,90655530
California,2016,Other Taxes,145385
Colorado,2016,Total Taxes,12795318
Colorado,2016,Property Taxes,X
Colorado,2016,Sales and Gross Receipts Taxes,4897029
Colorado,2016,License Taxes,702499
Colorado,2016,Income Taxes,7111711
Colorado,2016,Other Taxes,84079
Connecticut,2016,Total Taxes,15244947
Connecticut,2016,Property Taxes,X
Connecticut,2016,Sales and Gross Receipts Taxes,6149782
Connecticut,2016,License Taxes,455454
Connecticut,2016,Income Taxes,8276620
Connecticut,2016,Other Taxes,363091
Delaware,2016,Total Taxes,3522301
Delaware,2016,Property Taxes,X
Delaware,2016,Sales and Gross Receipts Taxes,539193
Delaware,2016,License Taxes,1452596
Delaware,2016,Income Taxes,1430520
Delaware,2016,Other Taxes,99992
District of Columbia,2016,Total Taxes,7404521
District of Columbia,2016,Property Taxes,2416604
District of Columbia,2016,Sales and Gross Receipts Taxes,1783982
District of Columbia,2016,License Taxes,180380
District of Columbia,2016,Income Taxes,2464330
District of Columbia,2016,Other Taxes,559225
Florida,2016,Total Taxes,37640420
Florida,2016,Property Taxes,20
Florida,2016,Sales and Gross Receipts Taxes,30429302
Florida,2016,License Taxes,2241468
Florida,2016,Income Taxes,2272230
Florida,2016,Other Taxes,2697400
Georgia,2016,Total Taxes,21454446
Georgia,2016,Property Taxes,961780
Georgia,2016,Sales and Gross Receipts Taxes,8408456
Georgia,2016,License Taxes,663946
Georgia,2016,Income Taxes,11420536
Georgia,2016,Other Taxes,-272
Hawaii,2016,Total Taxes,6919035
